cpu_thermal,sbs-1-000b,sbs-1-000b/current_now,CROS_USB_PD_CHARGER0/voltage_now,sbs-1-000b/voltage_now,sbs-1-000b/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,cpu2/scaling_cur_freq,cpu3/scaling_cur_freq,
39095,26100,-409000,0,11837000,64,702000,702000,2106000,2106000,
38860,26100,-408000,0,11838000,64,1105000,1105000,702000,702000,
38860,26100,-404000,0,11837000,64,1001000,1001000,507000,507000,
39095,26100,-437000,0,11830000,64,1001000,1001000,1001000,1001000,
38977,26100,-437000,0,11839000,64,507000,507000,2106000,2106000,
38860,26100,-439000,0,11828000,64,1508000,1508000,507000,507000,
38977,26100,-435000,0,11827000,64,1209000,1209000,507000,507000,
38860,26100,-439000,0,11822000,64,1209000,1209000,507000,507000,
38977,26100,-435000,0,11837000,64,1209000,1209000,507000,507000,
38977,26100,-431000,0,11824000,64,1209000,1209000,702000,702000,
40853,26100,-514000,0,11819000,64,1209000,1209000,2106000,2106000,
41791,26100,-507000,0,11813000,64,1703000,1703000,2106000,2106000,
42847,26100,-509000,0,11822000,64,1703000,1703000,2106000,2106000,
42612,26100,-488000,0,11824000,64,1703000,1703000,2106000,2106000,
42729,26100,-517000,0,11818000,64,1703000,1703000,2106000,2106000,
43902,26100,-584000,0,11816000,64,1703000,1703000,2106000,2106000,
43902,26100,-524000,0,11816000,64,1703000,1703000,2106000,2106000,
44488,26100,-545000,0,11800000,64,1703000,1703000,2106000,2106000,
43902,26100,-506000,0,11808000,64,1703000,1703000,2106000,2106000,
43316,26100,-498000,0,11824000,64,1703000,1703000,2106000,2106000,
44019,26100,-505000,0,11821000,64,1703000,1703000,2106000,2106000,
41205,26100,-413000,0,11830000,64,1209000,1209000,507000,507000,
40736,26100,-403000,0,11830000,64,1209000,1209000,507000,507000,
40384,26100,-402000,0,11826000,64,702000,702000,507000,507000,
40384,26100,-409000,0,11824000,64,1209000,1209000,507000,507000,
46012,26100,-576000,0,11796000,64,1001000,1001000,2106000,2106000,
47771,26100,-579000,0,11788000,64,1001000,1001000,2106000,2106000,
51054,26100,-582000,0,11802000,64,1001000,1001000,2106000,2106000,
51406,26100,-675000,0,11786000,64,1001000,1001000,2106000,2106000,
47654,26100,-557000,0,11790000,64,1209000,1209000,2106000,2106000,
46833,26100,-552000,0,11799000,64,1105000,1105000,2106000,2106000,
51054,26100,-642000,0,11777000,64,1703000,1703000,2106000,2106000,
44723,26100,-470000,0,11821000,64,1508000,1508000,1612000,1612000,
43667,26100,-463000,0,11823000,64,1209000,1209000,1404000,1404000,
45192,26100,-537000,0,11820000,64,1703000,1703000,2106000,2106000,
43902,26100,-455000,0,11820000,64,1703000,1703000,2106000,2106000,
47302,26100,-612000,0,11784000,64,1508000,1508000,2106000,2106000,
48006,26100,-598000,0,11783000,64,1300000,1300000,2106000,2106000,
45778,26100,-531000,0,11802000,64,1105000,1105000,2106000,2106000,
44605,26100,-515000,0,11820000,64,1209000,1209000,2106000,2106000,
46950,26100,-575000,0,11791000,64,1209000,1209000,2106000,2106000,
43785,26100,-463000,0,11822000,63,1105000,1105000,2106000,2106000,
46130,26100,-542000,0,11802000,64,1209000,1209000,2106000,2106000,
44488,26200,-523000,0,11820000,64,507000,507000,2106000,2106000,
45895,26200,-506000,0,11789000,64,1703000,1703000,2106000,2106000,
46950,26100,-567000,0,11787000,64,1105000,1105000,2106000,2106000,
46950,26200,-548000,0,11804000,64,1209000,1209000,2106000,2106000,
47888,26200,-572000,0,11791000,64,1703000,1703000,2106000,2106000,
48006,26200,-566000,0,11787000,64,1105000,1105000,2106000,2106000,
48006,26200,-609000,0,11789000,64,1300000,1300000,2106000,2106000,
44136,26200,-466000,0,11819000,64,1001000,1001000,2106000,2106000,
47185,26200,-579000,0,11779000,64,1105000,1105000,2106000,2106000,
53165,26200,-751000,0,11763000,64,1703000,1703000,2106000,2106000,
54572,26200,-739000,0,11745000,64,1703000,1703000,2106000,2106000,
49647,26200,-600000,0,11779000,64,1300000,1300000,2106000,2106000,
53399,26200,-763000,0,11742000,64,1703000,1703000,2106000,2106000,
57034,26200,-844000,0,11742000,64,1703000,1703000,2106000,2106000,
58558,26200,-794000,0,11745000,64,1703000,1703000,2106000,2106000,
57972,26200,-739000,0,11740000,64,1703000,1703000,2106000,2106000,
58793,26200,-826000,0,11724000,63,1703000,1703000,2106000,2106000,
60434,26200,-888000,0,11720000,64,1703000,1703000,2106000,2106000,
58675,26200,-819000,0,11716000,64,1703000,1703000,2106000,2106000,
58441,26200,-802000,0,11729000,64,1703000,1703000,2106000,2106000,
59848,26200,-795000,0,11738000,64,1703000,1703000,2106000,2106000,
59379,26200,-760000,0,11738000,64,1703000,1703000,2106000,2106000,
60669,26200,-750000,0,11747000,64,1703000,1703000,2106000,2106000,
60434,26200,-770000,0,11729000,64,1703000,1703000,2106000,2106000,
61255,26200,-788000,0,11741000,64,1703000,1703000,2106000,2106000,
61020,26200,-766000,0,11739000,64,1703000,1703000,2106000,2106000,
59613,26200,-727000,0,11738000,64,1703000,1703000,2106000,2106000,
60669,26200,-734000,0,11737000,64,1703000,1703000,2106000,2106000,
59965,26200,-652000,0,11754000,64,1703000,1703000,2106000,2106000,
57737,26200,-812000,0,11749000,64,1105000,1105000,2106000,2106000,
48357,26200,-440000,0,11803000,64,702000,702000,2106000,2106000,
46481,26200,-428000,0,11806000,64,507000,507000,702000,702000,
45309,26200,-431000,0,11817000,64,702000,702000,507000,507000,
44371,26200,-433000,0,11807000,64,1508000,1508000,702000,702000,
44488,26200,-427000,0,11811000,64,507000,507000,1001000,1001000,
44019,26200,-431000,0,11817000,64,507000,507000,702000,702000,
46716,26200,-547000,0,11784000,64,1703000,1703000,2106000,2106000,
46833,26200,-507000,0,11787000,64,1703000,1703000,2106000,2106000,
46833,26200,-524000,0,11798000,64,1703000,1703000,2106000,2106000,
46950,26200,-524000,0,11794000,64,1703000,1703000,2106000,2106000,
46599,26200,-533000,0,11796000,64,1703000,1703000,2106000,2106000,
47068,26200,-521000,0,11794000,64,1703000,1703000,2106000,2106000,
46364,26200,-524000,0,11794000,64,1703000,1703000,2106000,2106000,
47654,26200,-543000,0,11788000,64,1703000,1703000,2106000,2106000,
47654,26200,-538000,0,11783000,64,1703000,1703000,2106000,2106000,
46716,26200,-547000,0,11802000,64,1703000,1703000,2106000,2106000,
47068,26200,-506000,0,11804000,64,1703000,1703000,2106000,2106000,
47537,26200,-554000,0,11783000,64,1703000,1703000,2106000,2106000,
47419,26200,-568000,0,11792000,64,1703000,1703000,2106000,2106000,
46716,26200,-495000,0,11795000,64,1703000,1703000,2106000,2106000,
48357,26200,-548000,0,11764000,64,1703000,1703000,2106000,2106000,
47302,26200,-544000,0,11785000,64,1703000,1703000,2106000,2106000,
48592,26200,-584000,0,11781000,64,1703000,1703000,2106000,2106000,
47419,26200,-507000,0,11791000,64,1703000,1703000,2106000,2106000,
47888,26200,-525000,0,11790000,64,1703000,1703000,2106000,2106000,
47302,26200,-543000,0,11784000,64,1703000,1703000,2106000,2106000,
