INT3400 Thermal,TSR0,TSR1,TSR2,B0DB,soc_dts0,soc_dts1,BAT0/current_now,BAT0/voltage_now,BAT0/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,
20000,26800,23800,23800,33000,29000,32000,386000,11641000,58,2498479,2463792,
20000,26800,23800,23800,33000,29000,31000,340000,11644000,58,2582300,2581714,
20000,26800,23800,23800,33000,29000,31000,341000,11641000,58,2582300,2582300,
20000,26800,23800,23800,33000,29000,31000,337000,11642000,58,2582300,2582365,
20000,26800,23800,23800,32000,29000,31000,335000,11644000,58,2582300,1972583,
20000,26800,23800,23800,33000,29000,31000,337000,11640000,58,2581453,2582300,
20000,26800,23800,23800,33000,29000,31000,335000,11642000,57,2582300,1996922,
20000,26800,23800,23800,32000,29000,31000,336000,11641000,57,2582300,2159227,
20000,26800,23800,23800,32000,29000,31000,335000,11644000,57,2582300,2245520,
20000,26800,23800,23800,35000,29000,31000,335000,11645000,57,2582300,2582234,
20000,26800,23800,23800,33000,29000,31000,347000,11642000,57,2582300,2581844,
20000,26800,23800,23800,32000,29000,31000,346000,11639000,57,2581649,2582169,
20000,26800,23800,23800,33000,29000,31000,335000,11640000,57,2582300,2581974,
20000,26800,23800,23800,33000,29000,31000,334000,11639000,57,2163587,2582300,
20000,26800,23800,23800,32000,29000,31000,335000,11643000,57,2582300,2582104,
20000,26800,23800,23800,32000,29000,31000,332000,11642000,57,2582300,2581584,
20000,26800,23800,23800,32000,29000,31000,332000,11641000,57,2582300,2582300,
20000,26800,23800,23800,32000,29000,31000,349000,11637000,57,2582039,1978114,
20000,26800,23800,23800,32000,29000,31000,334000,11637000,57,2582300,2581844,
20000,26800,23800,23800,32000,29000,31000,349000,11634000,57,2582169,2075536,
20000,26800,23800,24800,32000,29000,31000,360000,11636000,57,2579892,2301097,
20000,26800,23800,23800,32000,29000,31000,337000,11641000,57,2582300,2581714,
20000,26800,23800,23800,33000,29000,31000,336000,11641000,57,2582300,2581388,
20000,26800,23800,23800,32000,29000,32000,335000,11639000,57,2581909,2334222,
20000,26800,23800,23800,33000,29000,32000,336000,11639000,57,2582300,2447978,
20000,26800,23800,23800,32000,29000,32000,337000,11640000,57,2581388,2486244,
20000,26800,23800,23800,32000,29000,32000,340000,11640000,57,2582300,2580738,
20000,26800,23800,23800,32000,29000,32000,348000,11641000,57,2582300,2020610,
20000,26800,23800,23800,32000,29000,32000,361000,11641000,57,2582234,2051522,
20000,26800,23800,24800,33000,29000,32000,332000,11638000,57,2582300,2582300,
20000,26800,23800,23800,35000,30000,33000,408000,11627000,57,2582300,2582300,
20000,26800,23800,24800,33000,30000,32000,355000,11635000,57,2581388,2581584,
20000,26800,23800,23800,36000,30000,34000,561000,11566000,57,2581714,2582300,
20000,26800,23800,23800,38000,31000,34000,553000,11585000,57,2582234,2582300,
20000,26800,23800,23800,35000,30000,34000,395000,11620000,57,2582300,2582300,
20000,26800,23800,24800,35000,30000,33000,461000,11572000,57,2582300,2582300,
20000,26800,23800,23800,33000,30000,33000,374000,11626000,57,2580673,1956508,
20000,26800,23800,24800,33000,30000,32000,359000,11627000,57,2580542,2577484,
20000,26800,23800,24800,33000,30000,32000,348000,11633000,57,2582300,2080482,
20000,26800,23800,23800,33000,30000,32000,340000,11634000,57,2581844,2474465,
20000,26800,23800,23800,32000,30000,32000,337000,11630000,57,2582300,2042086,
20000,26800,23800,24800,32000,30000,32000,338000,11633000,57,2581974,2566616,
20000,26800,23800,24800,34000,30000,32000,352000,11616000,57,2582300,2498544,
20000,26800,23800,24800,32000,30000,32000,364000,11630000,57,2581714,2011174,
20000,26800,23800,23800,32000,30000,32000,353000,11632000,57,2581063,2440039,
20000,26800,23800,24800,32000,29000,32000,340000,11630000,57,2582300,2578135,
20000,26800,23800,23800,33000,29000,32000,340000,11632000,57,2580933,2412901,
20000,26800,23800,23800,32000,30000,32000,346000,11633000,57,2581844,2156558,
20000,26800,23800,23800,32000,29000,32000,330000,11628000,57,2582234,2581909,
20000,26800,23800,23800,33000,29000,32000,331000,11624000,57,2582300,2010523,
20000,26800,23800,24800,32000,29000,32000,332000,11629000,57,2582300,1922212,
20000,26800,23800,24800,32000,29000,32000,332000,11631000,57,2582300,2581453,
20000,26800,23800,24800,32000,29000,32000,336000,11632000,57,2581258,2497112,
20000,26800,23800,24800,32000,29000,32000,332000,11633000,57,2581779,2008115,
20000,26800,23800,24800,32000,29000,32000,341000,11632000,57,2490930,2576247,
20000,26800,23800,24800,32000,29000,32000,352000,11633000,57,2582300,2581388,
20000,26800,23800,24800,32000,29000,32000,334000,11623000,57,2582234,2077814,
20000,26800,23800,24800,33000,29000,32000,350000,11631000,57,2580803,2582300,
20000,26800,23800,24800,33000,29000,32000,332000,11633000,57,2580087,1962691,
20000,26800,23800,24800,34000,30000,32000,398000,11631000,57,2582300,2582300,
20000,26800,23800,24800,33000,30000,32000,336000,11630000,57,2415179,2411469,
20000,26800,23800,24800,33000,29000,32000,336000,11631000,57,2581063,2580933,
20000,26800,23800,24800,32000,29000,32000,348000,11633000,57,2581193,2582300,
20000,26800,23800,24800,32000,29000,32000,335000,11631000,57,2581909,2582365,
20000,26800,23800,24800,32000,29000,32000,335000,11631000,57,2581779,2571366,
20000,26800,23800,24800,32000,29000,32000,335000,11631000,57,2581779,2534923,
20000,26800,23800,24800,35000,29000,32000,354000,11633000,57,2582300,2582300,
20000,26800,24800,24800,32000,29000,32000,331000,11632000,57,2581128,2580738,
20000,26800,23800,24800,33000,29000,32000,332000,11632000,57,2580542,1902233,
20000,26800,23800,23800,32000,29000,32000,340000,11628000,57,2498349,2080938,
20000,26800,24800,24800,32000,29000,32000,334000,11629000,57,2581909,1973103,
20000,26800,23800,24800,32000,30000,32000,335000,11632000,57,2163196,2582300,
20000,26800,23800,24800,32000,29000,32000,332000,11629000,57,2580477,2525616,
20000,26800,23800,24800,32000,29000,32000,336000,11627000,57,2155647,2582039,
20000,26800,23800,24800,32000,29000,32000,331000,11630000,57,2580607,2498153,
20000,26800,23800,24800,33000,29000,31000,334000,11629000,57,2582300,2369689,
20000,26800,23800,24800,32000,29000,31000,332000,11620000,57,2581063,2581909,
